first_name,last_name,gender,department,title,hire_date,salary
Ford,Falconbridge,Male,Support,Senior Financial Analyst,937944053,339500
Doris,Pratty,Female,Training,Programmer IV,1053382665,281500
Noe,Thormann,Male,Training,Professor,1466872536,75000
Margeaux,Sly,Female,Support,Media Manager IV,1308592265,154000
Tansy,Pedden,Female,Marketing,Business Systems Development Analyst,1492867710,62000
Wilone,Brabben,Female,Product Management,Recruiting Manager,1116229025,250500
Jena,Dillinton,Female,Accounting,Analog Circuit Design manager,1103661552,256500
Valaree,Greener,Female,Services,Software Consultant,1467623095,74500
Shela,Knightly,Female,Human Resources,Compensation Analyst,1472383830,72000
Kettie,Treverton,Female,Engineering,Social Worker,1436794171,90000
Jared,Fowls,Male,Marketing,Staff Accountant III,1434395048,91000
Selle,Steinhammer,Female,Research and Development,Web Designer III,1468621202,74000
Miner,Wakelin,Male,Support,Research Associate,1003648740,306500
Selby,Endacott,Male,Sales,Technical Writer,1478650729,69000
Leeann,Derrington,Female,Support,VP Sales,1484020729,66500
Danny,Readett,Male,Engineering,VP Product Management,1511711538,52500
Cyril,McGaugan,Male,Business Development,Financial Analyst,1493801980,61500
Johnny,Olekhov,Male,Support,Software Test Engineer III,1004592155,306000
Edward,Vest,Male,Services,Technical Writer,1464451044,76000
Allyn,Kunze,Male,Legal,Quality Engineer,1414469645,101000
Quintin,Dreigher,Male,Engineering,Administrative Assistant IV,1508712382,54000
Dix,Gaunt,Female,Legal,Assistant Manager,1411171766,103000
Gracia,Sweetmore,Female,Marketing,Professor,1299201993,159000
Corny,Firebrace,Male,Sales,Software Test Engineer II,1284287146,166500
Julienne,Sandyford,Female,Product Management,Computer Systems Analyst II,1514858292,51000
Hardy,Abela,Male,Research and Development,Safety Technician II,1480340101,68500
Siobhan,Kyffin,Female,Sales,Civil Engineer,1516465724,50000
Lutero,Fromont,Male,Human Resources,Research Assistant III,1467942288,74500
Roi,Hollerin,Male,Engineering,Assistant Professor,1455733444,80500
Dotti,Baldacchino,Female,Sales,Structural Engineer,1233534438,191500
Tabby,Kesey,Male,Sales,Software Engineer IV,1336822309,140000
Franchot,Beaven,Male,Marketing,Internal Auditor,1467772507,74500
